name,language,stars
yggdrasil-decision-forests,C++,622
site-kit-wp,JavaScript,1.3k
oss-fuzz,Shell,12k
brotli,TypeScript,14k
compile-testing,Java,715
device-infra,Java,58
filonov,Python,10
perfetto,C++,5k
dwh-migration-tools,Java,54
error-prone,Java,7.1k
nearby,C++,887
turbine,Java,82
orbax,Python,455
skia,C++,10k
angle,C++,3.8k
capslock,Go,1.1k
koladata,C++,27
or-tools,C++,13k
rrg,Rust,59
aarch64-paging,Rust,38
dawn,C++,778
scaaml,Python,175
adk-go,Go,4.7k
syzkaller,Go,5.9k
cpu_features,C++,2.6k
highway,C++,5.1k
gemma.cpp,C++,6.6k
dranet,Go,146
pl011-uart,Rust,6
cddlconv,TypeScript,11
jaxite,Python,88
nomulus,Java,1.8k
xls,C++,1.4k
safe-mmio,Rust,17
flatbuffers,C++,25k
sbom-conformance,Go,2
ruy,C++,316
earthengine-api,JavaScript,3.1k
XNNPACK,C,2.2k
fhir-data-pipes,Jupyter Notebook,204
truth,Java,2.8k
tunix,Python,1.9k
garf,Python,11
nsjail,C++,3.6k
budoux-extension,TypeScript,16
qwix,Python,66
aarch64-rt,Rust,17
percore,Rust,8
wuffs,C,4.7k
magika,Python,9.8k
jimfs,Java,2.5k
zerocopy,Rust,2.1k
skia-buildbot,Go,158
gtm-session-fetcher,Objective-C,265
google-toolbox-for-mac,Objective-C,1.2k
ground-android,Kotlin,272
command-fds,Rust,42
yapf,Python,14k
tsl,C++,101
osv-scalibr,Go,537
synopsys-dw-uart,Rust,
cameratrapai,Python,387
double-conversion,C++,1.2k
dive,C++,17
adk-samples,Python,6.4k
sedpack,Python,28
go-containerregistry,Go,3.6k
bazel-common,Starlark,91
open-dice,C++,26
heir,C++,609
chromium-policy-vulnfeed,Go,7
toucan,C++,48
docsy,JavaScript,2.9k
osv-scanner,Go,8.1k
cassowary.dart,Dart,44
android-cuttlefish,C++,571
ink,C++,49
earthengine-catalog,Jsonnet,121
oss-fuzz-vulns,Python,166
meridian,Python,1.2k
gn-language-server,Rust,18
matr,Rust,9
langfun,Python,875
osv-scanner-v1,Go,2
adk-docs,HTML,975
quiche,C++,801
private-compute-libraries,Kotlin,34
gson,Java,24k
kafel,C,340
adk-python,Python,16k
mug,Java,444
biva,C++,6
gvisor,Go,17k
tabuli,C++,35
filament,C++,19k
Xee,Python,320
safevalues,TypeScript,137
init2winit,Python,79
jetpack-camera-app,Kotlin,276
eclipsa-audio-plugin,C++,56
adk-js,TypeScript,99
crubit,C++,924
cel-java,Java,227
cel-spec,Starlark,3.5k
crosvm,Rust,1.1k
grain,Python,602
ground-platform,TypeScript,227
closure-compiler,JavaScript,7.6k
dotprompt,Python,329
kotlin-fhirpath,Kotlin,6
bloaty,C++,5.3k
civics_cdf_validator,Python,34
netkat,C++,27
virtual-printer,Kotlin,2
benchmark,C++,9.9k
digitalbuildings,Python,424
oracle-toolkit,Shell,65
fuzztest,C++,924
fonts,HTML,19k
gfxstream,C++,21
clusterfuzz,Python,5.5k
xrblocks,TypeScript,153
cel-cpp,C++,205
closure-templates,Java,671
TestParameterInjector,Java,415
sec-gemini,Svelte,107
secure-aggregation,Rust,5
security-research,C,4.3k
automotive-design-compose,Rust,167
dagger,Java,18k
embardiment,C#,11
llvm-propeller,C++,464
adk-java,Java,967
ecclesia-machine-management,C++,15
zx,JavaScript,45k
s2geometry,C++,2.6k
earthengine-community,Jupyter Notebook,743
timesketch,Python,3.2k
testrun,Python,42
dart-neats,Dart,503
mozc,C++,2.8k
go-querystring,Go,2.1k
googletest-rust,Rust,393
built_value.dart,Dart,883
brax,Jupyter Notebook,2.9k
seesaw,Go,5.7k
oboe,C++,4k
boringssl,C++,2.1k
torchax,Python,131
go-units,Go,7
osv.dev,Python,2.4k
j2cl,Java,1.3k
ml-metrics,Python,19
pullsheet,Go,88
nsscache,Python,150
tcmalloc,C++,5k
aqt,Python,337
pdl,Rust,66
mcp-security,Python,404
oss-rebuild,Go,669
atheris,Python,1.5k
adk-python-community,Python,95
json_serializable.dart,Dart,1.6k
ksp,Kotlin,3.3k
jsonschema-go,Go,140
gops,Go,7k
tarpc,Rust,3.6k
go-attestation,Go,404
libnss-cache,C,61
assertor,Rust,144
flax,Jupyter Notebook,6.9k
clspv,LLVM,693
langextract,Python,17k
pack,Rust,202
gurl,C++,0
shell-encryption,C++,124
certificate-transparency-go,Go,1.1k
source_helper.dart,Dart,16
conscrypt,Java,1.4k
libphonenumber,C++,18k
copybara,Java,2.5k
sentencepiece,C++,11k
snappy,C++,6.5k
trillian-examples,Go,173
android-security-lints,Kotlin,153
secops-wrapper,Python,44
workflow-graph,TypeScript,149
android-fhir,Kotlin,571
silifuzz,C++,412
tensorstore,C++,1.5k
peoplemath,TypeScript,128
fscrypt,Go,983
trillian,Go,3.7k
go-github,Go,11k
gke-policy-automation,Go,525
merchant-api-samples,Java,10
go-cloud,Go,9.8k
aoss-verifier,Go,25
go-jsonnet,Go,1.8k
certtostore,Go,96
neuroglancer,TypeScript,1.2k
minijail,C,342
osv-scanner-action,Python,47
jax-datetime,Python,2
glome,C,63
gutil,C++,11
fleetbench,C++,134
across,HTML,21
fhir,C++,904
horologist,Kotlin,657
nccl-plugin-gpudirect-tcpxo,C++,6
gnostic-models,Go,20
go-sev-guest,Go,66
fhir-gateway,Java,90
kotlin,Kotlin,153
android-beat,,2
bumble,Python,426
gwpsan,C++,327
nftables,Go,1.3k
wasefire,Rust,127
clasp,TypeScript,5.3k
guava,Java,51k
go-tdx-guest,Go,79
googleapis.dart,Dart,408
openhtf,Python,613
github_workflows_playground,,8
adk-web,TypeScript,675
gce-tcb-verifier,Go,22
github-team,Shell,2
pyglove,Python,699
shaderc,C++,2.1k
cel-go,Go,2.8k
arolla,C++,23
inverting-proxy,Go,262
ChromeBrowserEnterprise,C#,57
travel-impact-model-website,TypeScript,5
learned_optimization,Python,788
rpmpack,Go,128
cctz,C++,631
weather-tools,Python,241
schema-dts,TypeScript,1.1k
foteli,C++,5
protobuf.dart,Dart,558
mdbook-i18n-helpers,Rust,194
deps.dev,Go,354
tsec,TypeScript,141
github-sandbox,,16
dotguides,TypeScript,21
aarch64-esr-decoder,Rust,99
torq,Python,2
osdfir-infrastructure,Smarty,172
github_nonpublic_api,Python,43
libhoth,C,17
oss-fuzz-gen,Python,1.3k
auto,Java,11k
xctestrunner,Python,153
escapevelocity,Java,39
postcss-rename,TypeScript,162
praxis,Python,190
transit,,852
riegeli,C++,465
swiftshader,C++,2.4k
osdemo,Rust,8
j2objc,Java,6k
differential-privacy,Go,3.3k
caliper,Java,819
aidl-language,,23
selinux-policy-languages,,14
pdl-language,,26
comprehensive-rust,Rust,32k
webcrypto.dart,Dart,97
budoux,Python,1.5k
pytype,Python,5k
paxml,Python,540
renameio,Go,667
seqio,Python,589
alioth,Rust,307
iwa-vscode-extension,TypeScript,3
mobly,Python,716
project-voice,TypeScript,49
duet,Python,24
cro3,Rust,49
arb-editor,TypeScript,56
codeql-action,TypeScript,0
dfindexeddb,Python,38
sound-checker,Kotlin,22
traceviz,TypeScript,4
etils,Python,244
labs-prototypes,Jupyter Notebook,85
vector_math.dart,Dart,341
pprof,Go,8.9k
rust-crate-audits,,255
aside,TypeScript,392
privacy-sandbox-aggregation-service,Go,28
rbrotli-enc,Rust,13
ads-api-report-fetcher,TypeScript,53
guice,Java,13k
mobly-bundled-snippets,Java,54
metrax,Python,47
symphony-gcp,Python,
ml-compiler-opt,Python,737
google-cloud-datastore-quadruple,M4,2
styleguide,HTML,39k
array_record,C++,123
mobly-android-screen-recorder,Python,5
certificate-transparency-community-site,HTML,132
tsunami-security-scanner-plugins,Java,942
tsunami-security-scanner,Java,8.5k
keep-sorted,Go,316
docsy-example,HTML,537
perf_data_converter,C++,331
android-emulator-hypervisor-driver,C,841
ads_oneshop,Python,19
EarlGrey,Objective-C,5.7k
zetasql,C++,2.4k
myvibe,,4
business_intelligence_group,Jupyter Notebook,14
mobly-bluetooth-ref-validation,Python,5
googletest,C++,37k
cloud-android-orchestration,Go,58
fhir-py,Python,94
product_video_ads,TypeScript,61
xplat,Java,18
go-tpm,Go,616
guava-beta-checker,Java,91
google-authenticator-libpam,C,1.9k
spatial-media,Python,2k
longfellow-zk,C++,983
kernel-research,C++,48
bindiff,Java,2.8k
shifter,Go,45
coset,Rust,38
starlark-go,Go,2.6k
GoogleSignIn-iOS,Objective-C,667
rust_icu,Rust,128
jsir,C++,108
walt,Java,462
meterstick,Jupyter Notebook,109
binexport,C++,1.2k
kotlin-fhir,Kotlin,53
saxml,Python,146
ever,Jupyter Notebook,14
sso-offloading,TypeScript,
kf,Go,400
vizier,Python,1.6k
instrumentsToPprof,Go,52
mozc-devices,C++,2.7k
ml_collections,Python,998
graph-renderer,,0
container-explorer,Go,89
googet,Go,98
google-api-objectivec-client-for-rest,Objective-C,830
desugar_jdk_libs,Java,389
uncertainty-baselines,Python,1.6k
bt-navi-tests,Python,5
go-tpm-tools,C,271
jax-cfd,Jupyter Notebook,894
p4-infra,C++,
kotlin_convert,Kotlin,20
built_collection.dart,Dart,283
quiver-dart,Dart,1.1k
pthreadpool,C++,22
webkit_inspection_protocol.dart,Dart,33
semantic-locators,JavaScript,58
brotli-wheels,,10
openintent,,33
re2,C++,9.5k
bughunters,,139
filament-assets,Mathematica,
xarray-beam,Python,158
gsocguides,CSS,475
mpact-cheriot,C++,6
glazier,Python,1.2k
mpact-riscv,C++,26
tfp-causalimpact,Python,135
fscryptctl,C,137
capirca,Python,839
imt,C++,5
neper,C,318
autofdo,C++,575
ARC-GEN,Python,33
fresnel,Go,55
dart_cli_pkg,Dart,61
fiddle,Python,364
elemental2,Java,167
jsinterop-base,Java,72
jsinterop-annotations,Java,21
jsinterop-generator,Java,82
genie-for-sap-abap-ai-assistant-sample,ABAP,26
omaha-client,Rust,6
sbat-rs,Rust,18
authenticode-rs,Rust,30
gpt-disk-rs,Rust,71
hackable_diffusion,Python,24
zimtohrli,Jupyter Notebook,172
uri.dart,Dart,80
mangle,Go,2.9k
mono_repo.dart,Dart,165
python-fire,Python,28k
ragvis,,
xarray-tensorstore,Python,61
flogger,Java,1.5k
breakpad,C++,2.8k
hotels-template-library,C++,24
google-ctf,Python,4.8k
process_runner,Dart,20
nsync,C,1.2k
quic-trace,C++,119
temporian,Python,703
mtail,Go,4k
obr,C++,22
turbinia,Python,777
google-java-format,Java,6k
addlicense,Go,850
GoogleAppMeasurement,Swift,31
evt-air-risk-aiaa-scitech-2026,Python,2
watchface,Kotlin,52
der-ascii,Go,248
inject-common,Java,11
airio,Python,21
buzzer,Go,468
jpegli,C++,277
ts-bridge,Go,54
slo-generator,Python,546
autobound,Python,363
pdsl-xray,Java,2
test-server,Go,17
sbsim,Python,86
tracey,Go,6
smbios-validation-tool,Go,12
pmax_best_practices_dashboard,Shell,52
pubmed-rag,Jupyter Notebook,11
loudness_ebur128,C++,3
python-proto-converter,Python,15
pathways-job,Go,15
humanio,JavaScript,14
anonymous-tokens,C++,58
eDistantObject,Objective-C,176
fleetspeak,Go,142
yamlfmt,Go,1.6k
tf-shell,Python,9
rootcanal,C++,30
skcms,,3
deepvariant,Python,3.6k
drjax,Python,15
jaxloop,Jupyter Notebook,18
private-join-and-compute,C++,833
gnxi,Python,282
winops,Go,121
intellij-community,Java,12
wireit,TypeScript,6.3k
OpenSK,Rust,3.2k
capsem,Python,0
private-membership,C++,49
rune,C,1.9k
trillian-website,HTML,12
vanir,Python,342
cabbie,Go,99
travel-impact-model,,164
sandboxed-api,C++,1.7k
deepsomatic,,276
licenseclassifier,Go,339
distbench,C++,54
ide-perf,Kotlin,65
native-pkcs11,Rust,64
mpact-sim,C++,37
webview-ads,HTML,
gematria,Python,91
taxinomia,Go,
opendocs,,199
jaxopt,Python,1k
threat-team,YARA,54
generative-ai-docs,Jupyter Notebook,2.2k
oss-policies-info,,28
cloud-forensics-utils,Python,489
play-unreal-engine-plugin,C++,12
security-testbeds,Tcl,52
amber,C++,214
proto-lens,Haskell,497
play-services-plugins,Java,503
packetdrill,C,950
codemirror.dart,Dart,87
emboss,Python,82
playground-elements,TypeScript,626
snippet-uiautomator,Java,46
slowjam,HTML,252
fswalker,Go,109
sanitizers,C,12k
reflectable.dart,Dart,382
private-compute-services,Java,531
llm-sidebar-with-context,JavaScript,4
mediapy,Jupyter Notebook,440
learn-oss-with-google,Python,43
google.github.io,HTML,533
minimalloc,C++,175
smccc,Rust,8
s2a-proto,,0
s2a-go,Go,25
GoogleUtilities,Objective-C,121
mount-zip,C++,221
dnsmasq_exporter,Go,183
libultrahdr,C++,263
GTMAppAuth,Swift,413
ffn,Python,339
trax,Python,8.3k
mobly-wifi,Python,7
CausalImpact,R,1.8k
create-service-account,Python,25
wmt-mqm-human-evaluation,,96
polymorphicDSL,Java,12
apitools,Python,145
flink-connector-gcp,Java,12
bundletool,Java,3.9k
rdma-unit-test,C++,30
GiftStick,Python,142
minja,C++,198
gin-config,Python,2.1k
quahog,Go,2
sagetv,Java,280
protobuf-gradle-plugin,Groovy,1.8k
struct2tensor,Python,34
material-design-icons,,53k
closure-compiler-npm,JavaScript,339
allocation-instrumenter,Java,487
draco,C++,7k
jscin,JavaScript,45
kati,Rust,994
GoogleDataTransport,Objective-C,53
cql,Go,94
interop-ios-for-google-sdks,Objective-C,13
app-check,Objective-C,31
fully-homomorphic-encryption,C++,3.6k
strict-csp,TypeScript,48
jaxonnxruntime,Python,125
subcommands,Go,781
ukey2,Java,48
dataflow-ml-starter,Python,24
async-request-dispatcher-rs,Rust,3
virtual-broadcast-production-assistant,JavaScript,17
honggfuzz,C,3.3k
kctf,Go,731
gcp_scanner,Python,341
bigwheels,C++,101
web-game-samples,JavaScript,59
fleetspeak-rs,Rust,10
eng-edu,Jupyter Notebook,734
edward2,Jupyter Notebook,702
fuse-archive,C++,223
github-webhook-pubsub-bridge,Go,6
go-licenses,Go,961
pybind11clif,C++,70
shaderc-rs,Rust,282
closure-net,,3
rax,Python,335
go-dap,Go,133
distributed_point_functions,C++,77
rust-scudo,Rust,59
casimir,Rust,
ota-analyzer,JavaScript,13
crumbles,Java,5
tuple.dart,Dart,194
grinder.dart,Dart,266
webdriver.dart,Dart,141
sync_http.dart,Dart,17
flutter-mediapipe,Dart,270
dart-basics,Dart,164
genc,C++,63
carfac,Jupyter Notebook,131
kube-startup-cpu-boost,Go,509
jni-bind,C++,303
autocxx,Rust,2.5k
ghc-source-gen,Haskell,99
tsunami-security-scanner-callback-server,Java,18
partner-ads-experience,,4
fast-isotropic-median-filter,C++,16
ink-stroke-modeler,C++,104
cad_campaign_anomaly_detector,JavaScript,11
pcie_lmt,Go,7
llvm-memprof,C++,4
soql-tool,Apex,0
saif-data,,4
link-diver,TypeScript,69
wire,Go,14k
grpc-binary,Swift,10
kunit-docs,HTML,29
evolve-forms,Apex,175
matched_markets,Python,94
flow-lens,TypeScript,72
distributed_graph_flow,,0
go-eventlog,Go,15
Serberus,,13
node-gles,C++,331
co-op-4-all,TypeScript,10
data-driven-discretization-1d,Jupyter Notebook,168
howtodiv,Python,8
corpuscrawler,Python,211
accompanist,Kotlin,7.8k
proto-task-queue,Python,10
arm-gic,Rust,38
python-spanner-orm,Python,40
multichase,C,146
graph-mining,C++,712
executor.nvim,Lua,153
s2-geometry-library-java,Java,578
gnostic,Go,2.2k
cluster-data,TeX,1k
speaker-id,Python,436
localtoast,Go,114
generative-ai-go,Go,830
if-this-then-ad,TypeScript,99
dynamicworld,Jupyter Notebook,153
effcee,C++,102
facade,Python,134
har2csv,JavaScript,46
reflow-list,TypeScript,8
model-viewer,TypeScript,7.7k
esamplusplus,Python,4
devlibrary,Vue,194
shoptimizer,Python,48
safe-active-record,Ruby,18
practical-inverse-rendering-of-textured-and-translucent-appearance,Python,113
deluca,Jupyter Notebook,124
wci,Python,36
csv-to-firestore,Python,25
tacotron,HTML,540
sequence-layers,Python,46
conversational-surveys,JavaScript,6
ippusb,Rust,4
rubik,Python,28
vbootrom,C,16
web-hv,JavaScript,46
safety-web,TypeScript,27
argh,Rust,1.9k
fedjax,Python,266
jsonnet,Jsonnet,7.4k
chrome-ssh-agent,Go,274
hrx-ruby,Ruby,12
smc-hello-world,C,
smc-common,C,
deku,Go,6
code-review-bot,Go,101
truestreet,Go,42
python-card-framework,Python,22
gmail-oauth2-tools,Python,465
triage-party,Go,521
web-api-gateway,Go,46
payjs,JavaScript,7
gonids,Go,189
flyweights,Rust,2
litmus,Vue,38
gtest-parallel,Python,454
ml-edu,Python,6
automotive-design-compose-protos,,0
swissgl,JavaScript,1.2k
rde-tester,C++,
refvnli,JavaScript,0
CoMMA,Rust,11
fsl-gaming,JavaScript,25
terraform-google-sqlserver,PowerShell,3
cost-attribution-solution,HCL,37
lmeval,Python,235
tachometer,TypeScript,726
ios-webkit-debug-proxy,C,6.1k
apilark,,6
tcli,Python,9
app-resource-bundle,,155
recaptcha,PHP,3.5k
ent,Go,75
CommonLoopUtils,Jupyter Notebook,358
ebpf-transport-monitoring,Go,23
rago,Python,21
aukera,Go,41
open-location-code,Java,4.3k
jaxcam,Python,13
content_recommendation_using_word2vec,Python,27
safehtml,Go,373
forest-data-partnership,Jupyter Notebook,35
lightweight_mmm,Python,1k
gazoo-device,Python,23
bt-test-interfaces,Python,14
avatar,Python,20
paranoid_crypto,Python,796
proto-splitter,C++,
cadvisor,Go,19k
unblocking-detail-caption,HTML,
auto-arborist,Jupyter Notebook,13
qkeras,Python,578
pts-bot,Rust,4
vroom,Python,274
libaddressinput,C++,606
android-key-attestation,Java,213
dv360-duplicator,TypeScript,20
eiffel,C,5
skyline_rl_lab,Jupyter Notebook,6
pseudo-identity-provider,Go,9
llvm-premerge-checks,Python,43
go-configfs-tsm,Go,8
grr,Python,5k
sandwiched_compression,Jupyter Notebook,48
gemma_pytorch,Python,5.6k
go-safeweb,Go,1.5k
visualblocks,TypeScript,1.3k
codesearch,Go,3.9k
webauthndemo,TypeScript,621
UIforETW,C++,1.6k
hiba,C,384
pyink,Python,280
vk-layer-for-rust,Rust,14
liblc3,C,225
taqo-paco,Dart,12
jse4conf,Java,6
synthmark,C++,56
df-conformer,HTML,31
zetasketch,Java,163
cairn,C++,5
agi,Go,1k
lullaby,C++,1.2k
visqol,C++,836
glog,C++,7.3k
uvq,Python,119
aegis_cipher,C++,25
consent-based-conversion-adjustments,Python,25
containerdbg,C,74
Stereoscopic-Video-Generation-via-Denoising-Frame-Matrix,Python,8
iopddl,C++,24
badwolf-drivers,Go,22
project-euphonia-app,Dart,29
badwolf,Go,984
fruit,C++,1.9k
sa360-bigquery-bootstrapper,Python,6
gemma-unity-plugin,C#,79
gemma-journey,C#,28
feabench,Python,4
hashr,Go,126
regexpand,Go,8
myelin-acorn-electron-hardware,Python,59
vscode-vnc,TypeScript,5
pica,Python,55
strangemeadowlark,Rust,3
note-maps,Go,129
curie,Jupyter Notebook,28
mobly-cros,Python,2
go-tika,Go,253
textfsm,Python,1.2k
sherlock,Python,8
go-tspi,Go,62
kernel-sanitizers,Python,468
file-header,Rust,19
extra-keyboards-for-chrome-os,JavaScript,214
libprotobuf-mutator,C++,634
crc32c,C++,498
codeworld,Haskell,1.3k
smali,Java,325
android-riscv64,,242
unisim,Python,144
ml-metadata,C++,666
kmsan,C,417
play-asset-delivery-unity,C#,13
play-appbundle-unity,C#,8
file-based-test-driver,C++,13
oauth2l,Go,709
ads-privacy,,408
trusted-types-helper,TypeScript,11
search-in-apps,Swift,4
eslint-config-google,JavaScript,1.8k
go-replayers,Go,432
uVkCompute,C++,257
dfdewey,Python,19
CFU-Playground,Verilog,535
sqlcommenter,PHP,616
picatrix,Python,51
shadertrap,C++,12
lldb-eval,C++,86
pasta,Python,359
LogicLM,HTML,29
wuffs-mirror-release-c,C,39
image_mix,Python,16
page-alloc-bench,Go,4
grizzly,Python,69
tf-quant-finance,Python,5.1k
coding-with-chrome,JavaScript,530
html-to-jsonld-converter,Python,5
gopacket,Go,6.7k
RB-Modulation,Jupyter Notebook,402
briolette,Rust,67
bbr,,5.8k
py-lab-hal,Python,12
bsynth,C++,20
.github,,109
snowflake-to-bq-data-transfer-tool,Java,3
password-alert,JavaScript,322
moodle-on-gcp,Shell,72
glance-experimental-tools,Kotlin,185
myanmar-tools,Java,255
k8s-digester,Go,155
splice,Go,65
cc-device-plugin,Go,4
project-OCEAN,Python,55
git-pull-request-mirror,Go,95
weasel,Go,66
parse-ego4d,Jupyter Notebook,7
deepconsensus,Python,252
deeppolisher,Jupyter Notebook,94
makerspace-auth,Python,66
material-design-lite,HTML,32k
patrick,R,143
xr-objects,C#,161
dlc-insight-lab,JavaScript,
j2cl-protobuf,JavaScript,25
yarsa,Go,
googlesre,TypeScript,167
android-auto-companion-android,Kotlin,26
automl,Jupyter Notebook,6.4k
gdb_gcore_point,Python,2
serde_json5,Rust,42
emoji-scavenger-hunt,TypeScript,819
android-auto-companion-ios,Swift,16
library-wrapper-unity-common,C#,7
lottie-tools,Rust,2
speedy,C++,35
pebble,C,4.9k
volley,Java,3.4k
open-sztp,Go,11
pyu2f,Python,84
marl,C++,2k
cppdap,C++,182
uem_poc,TypeScript,3
new-project,,234
go-cmp,Go,4.5k
mlir-hs,Haskell,118
webrisk,Go,78
csp-evaluator,TypeScript,373
multichannel-audio-tools,C++,95
pprof-nodejs,JavaScript,288
hctr2,C,37
santa-tracker-web,JavaScript,644
jira-to-issues,TypeScript,18
best,Rust,137
alu-api,Jupyter Notebook,
haskell-indexer,Haskell,101
latexify_py,Python,7.6k
abseil-cpp-binary,Swift,16
fuzzbench,Python,1.2k
jarjar,Java,90
xdtk,Java,38
play-integrity-unity,C#,10
play-in-app-reviews-unity,C#,12
play-in-app-updates-unity,C#,3
santa,Objective-C++,4.5k
play-core-unity,C#,3
android-auto-companion-app,Dart,15
orbit,C++,4.3k
leveldb,C++,38k
ctrdac,Go,13
mail-importer,Java,264
deck,Go,56
unsmear,C++,95
library-wrapper-unity-openjdk8,C#,7
calblink,Go,43
kir-holiday-lights,Shell,19
io-connect-2024-ui-workshop,CSS,44
snaplayout-for-xmonad,Haskell,6
dfiq,Python,294
git-tree,Rust,45
learn_unsafe_rust,,279
archat,TypeScript,94
summit-ast,Kotlin,42
rust-p9,Rust,43
spiqa,Python,70
oxsea,Rust,2
re2j,Java,1.2k
megalista,Python,138
serde_json_lenient,Rust,25
bulk-actions-framework,Apex,
rag-playground,Python,41
agi-dev-releases,Shell,35
fhir-app-examples,Kotlin,54
shopping_insider,Python,29
gnostic-grpc,Go,314
acjs,Go,10
go-react,Go,38
broken-dns,Go,22
xtoproto,Go,58
martian,Go,2k
recursive-version-control-system,Go,31
spdmd,C++,0
bulk_fhir_tools,Go,63
ondc-opencommerce,Go,24
goblet,Go,181
webpackager,Go,75
apt-golang-s3,Go,49
fhir-dbt-analytics,Shell,58
vxsig,C++,284
traceur-compiler,JavaScript,8.2k
vimscript-language-server,Rust,401
cpp-from-the-sky-down,HTML,276
tree-math,Python,202
go-streaming-globber,Go,6
clusterfuzzlite,,509
ads-bi-suite,Shell,18
tcpgpudmarxd,C++,9
play-common-unity,C#,
play-unity-plugins,C#,465
codex,Jupyter Notebook,67
sre_yield,Python,187
lintush,JavaScript,59
emoji-segmenter,C,64
unity-anr-plugin,Java,5
imageinwords,JavaScript,223
android-emulator-container-scripts,Python,2k
werm,C,46
season-of-docs,,579
uuid,Go,5.9k
android-auto-companion-calendarsync-ios,Swift,6
ionosphere,Jupyter Notebook,3
takeout,,11
promises,Objective-C,3.8k
iba-opt-out-plugin,JavaScript,
dopamine,Jupyter Notebook,11k
docci,HTML,3
compute-virtual-ethernet-dpdk,C,11
angular-directed-graph,TypeScript,18
skywater-pdk,Python,3.3k
safearchive,Go,64
gts,TypeScript,5.2k
fuzzing,C++,3.7k
slang-gaussian-rasterization,Python,362
talkback,Java,488
langsvr,C++,9
coroutine-stacks,Kotlin,144
devtools-driver,Java,16
account-provisioning-for-google-apps,Java,51
chicago-brick,TypeScript,161
tour-of-wgsl,TypeScript,142
crfs,Go,1.4k
cql-on-beam,Java,12
capsicum-test,C++,45
docker-explorer,Python,548
graphicsfuzz,Java,595
CodeCity,JavaScript,193
moriarty,C++,6
uis-rnn,Python,1.6k
purr,Shell,155
karma-webkit-launcher,JavaScript,12
yaml-ui-editor,Java,32
supl-client,Java,71
robotstxt-spec-test,Java,23
step49-2020,Java,3
robotstxt-java,Java,47
exposure-notifications-private-analytics-ingestion,Java,12
play-work,Java,85
grr-doc,Shell,307
eng-practices,,20k
tec-web-assignments,JavaScript,12
webdriver-shadow-dom,Kotlin,2
drive-file-search-fix,JavaScript,5
gousb,Go,919
bayesnf,Python,142
funke-eudi-wallet-prototype,Kotlin,3
vimdoc,Python,304
paseos,JavaScript,15
tsunami,TypeScript,9
hrx,SCSS,49
english--,JavaScript,7
clif,C++,981
grrshell,Python,7
cdc-file-transfer,C++,3.4k
devops-governance,,83
google-visualization,TypeScript,14
price_visibility_booster,JavaScript,2
vim-codefmt,Vim Script,1.1k
project-gameface,Java,617
